Start date;End date;Biomass [MW] Calculated resolutions;Hydropower [MW] Calculated resolutions;Wind offshore [MW] Calculated resolutions;Wind onshore [MW] Calculated resolutions;Photovoltaics [MW] Calculated resolutions;Other renewable [MW] Calculated resolutions;Nuclear [MW] Calculated resolutions;Lignite [MW] Calculated resolutions;Hard coal [MW] Calculated resolutions;Fossil gas [MW] Calculated resolutions;Hydro pumped storage [MW] Calculated resolutions;Other conventional [MW] Calculated resolutions
Dec 8, 2023 12:00 PM;Dec 8, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 1:00 PM;Dec 8, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 2:00 PM;Dec 8, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 3:00 PM;Dec 8, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 4:00 PM;Dec 8, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 5:00 PM;Dec 8, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 6:00 PM;Dec 8, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 7:00 PM;Dec 8, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 8:00 PM;Dec 8, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 9:00 PM;Dec 8, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 10:00 PM;Dec 8, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 8, 2023 11:00 PM;Dec 9, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 12:00 AM;Dec 9, 2023 1:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 1:00 AM;Dec 9, 2023 2:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 2:00 AM;Dec 9, 2023 3:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 3:00 AM;Dec 9, 2023 4:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 4:00 AM;Dec 9, 2023 5:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 5:00 AM;Dec 9, 2023 6:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 6:00 AM;Dec 9, 2023 7:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 7:00 AM;Dec 9, 2023 8:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 8:00 AM;Dec 9, 2023 9:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 9:00 AM;Dec 9, 2023 10:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 10:00 AM;Dec 9, 2023 11:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 11:00 AM;Dec 9, 2023 12:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 12:00 PM;Dec 9, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 1:00 PM;Dec 9, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 2:00 PM;Dec 9, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 3:00 PM;Dec 9, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 4:00 PM;Dec 9, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 5:00 PM;Dec 9, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 6:00 PM;Dec 9, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 7:00 PM;Dec 9, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 8:00 PM;Dec 9, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 9:00 PM;Dec 9, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 10:00 PM;Dec 9, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 9, 2023 11:00 PM;Dec 10, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 12:00 AM;Dec 10, 2023 1:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 1:00 AM;Dec 10, 2023 2:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 2:00 AM;Dec 10, 2023 3:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 3:00 AM;Dec 10, 2023 4:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 4:00 AM;Dec 10, 2023 5:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 5:00 AM;Dec 10, 2023 6:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 6:00 AM;Dec 10, 2023 7:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 7:00 AM;Dec 10, 2023 8:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 8:00 AM;Dec 10, 2023 9:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 9:00 AM;Dec 10, 2023 10:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 10:00 AM;Dec 10, 2023 11:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 11:00 AM;Dec 10, 2023 12:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 12:00 PM;Dec 10, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 1:00 PM;Dec 10, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 2:00 PM;Dec 10, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 3:00 PM;Dec 10, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 4:00 PM;Dec 10, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 5:00 PM;Dec 10, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 6:00 PM;Dec 10, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 7:00 PM;Dec 10, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 8:00 PM;Dec 10, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 9:00 PM;Dec 10, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 10:00 PM;Dec 10, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 10, 2023 11:00 PM;Dec 11, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 12:00 AM;Dec 11, 2023 1:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 1:00 AM;Dec 11, 2023 2:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 2:00 AM;Dec 11, 2023 3:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 3:00 AM;Dec 11, 2023 4:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 4:00 AM;Dec 11, 2023 5:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 5:00 AM;Dec 11, 2023 6:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 6:00 AM;Dec 11, 2023 7:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 7:00 AM;Dec 11, 2023 8:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 8:00 AM;Dec 11, 2023 9:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 9:00 AM;Dec 11, 2023 10:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 10:00 AM;Dec 11, 2023 11:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 11:00 AM;Dec 11, 2023 12:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 12:00 PM;Dec 11, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 1:00 PM;Dec 11, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 2:00 PM;Dec 11, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 3:00 PM;Dec 11, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 4:00 PM;Dec 11, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 5:00 PM;Dec 11, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 6:00 PM;Dec 11, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 7:00 PM;Dec 11, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 8:00 PM;Dec 11, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 9:00 PM;Dec 11, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 10:00 PM;Dec 11, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 11, 2023 11:00 PM;Dec 12, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 12:00 AM;Dec 12, 2023 1:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 1:00 AM;Dec 12, 2023 2:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 2:00 AM;Dec 12, 2023 3:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 3:00 AM;Dec 12, 2023 4:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 4:00 AM;Dec 12, 2023 5:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 5:00 AM;Dec 12, 2023 6:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 6:00 AM;Dec 12, 2023 7:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 7:00 AM;Dec 12, 2023 8:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 8:00 AM;Dec 12, 2023 9:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 9:00 AM;Dec 12, 2023 10:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 10:00 AM;Dec 12, 2023 11:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 11:00 AM;Dec 12, 2023 12:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 12:00 PM;Dec 12, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 1:00 PM;Dec 12, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 2:00 PM;Dec 12, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 3:00 PM;Dec 12, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 4:00 PM;Dec 12, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 5:00 PM;Dec 12, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 6:00 PM;Dec 12, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 7:00 PM;Dec 12, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 8:00 PM;Dec 12, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 9:00 PM;Dec 12, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 10:00 PM;Dec 12, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 12, 2023 11:00 PM;Dec 13, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 12:00 AM;Dec 13, 2023 1:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 1:00 AM;Dec 13, 2023 2:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 2:00 AM;Dec 13, 2023 3:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 3:00 AM;Dec 13, 2023 4:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 4:00 AM;Dec 13, 2023 5:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 5:00 AM;Dec 13, 2023 6:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 6:00 AM;Dec 13, 2023 7:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 7:00 AM;Dec 13, 2023 8:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 8:00 AM;Dec 13, 2023 9:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 9:00 AM;Dec 13, 2023 10:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 10:00 AM;Dec 13, 2023 11:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 11:00 AM;Dec 13, 2023 12:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 12:00 PM;Dec 13, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 1:00 PM;Dec 13, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 2:00 PM;Dec 13, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 3:00 PM;Dec 13, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 4:00 PM;Dec 13, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 5:00 PM;Dec 13, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 6:00 PM;Dec 13, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 7:00 PM;Dec 13, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 8:00 PM;Dec 13, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 9:00 PM;Dec 13, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 10:00 PM;Dec 13, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 13, 2023 11:00 PM;Dec 14, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 12:00 AM;Dec 14, 2023 1:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 1:00 AM;Dec 14, 2023 2:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 2:00 AM;Dec 14, 2023 3:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 3:00 AM;Dec 14, 2023 4:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 4:00 AM;Dec 14, 2023 5:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 5:00 AM;Dec 14, 2023 6:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 6:00 AM;Dec 14, 2023 7:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 7:00 AM;Dec 14, 2023 8:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 8:00 AM;Dec 14, 2023 9:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 9:00 AM;Dec 14, 2023 10:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 10:00 AM;Dec 14, 2023 11:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 11:00 AM;Dec 14, 2023 12:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 12:00 PM;Dec 14, 2023 1:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 1:00 PM;Dec 14, 2023 2:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 2:00 PM;Dec 14, 2023 3:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 3:00 PM;Dec 14, 2023 4:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 4:00 PM;Dec 14, 2023 5:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 5:00 PM;Dec 14, 2023 6:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 6:00 PM;Dec 14, 2023 7:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 7:00 PM;Dec 14, 2023 8:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 8:00 PM;Dec 14, 2023 9:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 9:00 PM;Dec 14, 2023 10:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 10:00 PM;Dec 14, 2023 11:00 PM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
Dec 14, 2023 11:00 PM;Dec 15, 2023 12:00 AM;8,467.00;5,049.00;-;57,590.00;63,066.00;440.00;-;-;18,559.00;31,808.00;9,379.00;-
